referee_name,icc,incc,totali,total,percentage
"Jason Phillips",6,78,84,913,0.0920043811610077
"Monty McCutchen",9,66,75,824,0.0910194174757282
"Scott Foster",8,88,96,792,0.121212121212121
"Josh Tiven",11,90,101,790,0.127848101265823
"Kane Fitzgerald",11,67,78,781,0.0998719590268886
"Eric Lewis",10,74,84,779,0.10783055198973
"Marc Davis",12,69,81,765,0.105882352941176
"Ken Mauer",14,68,82,729,0.112482853223594
"Tom Washington",10,68,78,702,0.111111111111111
"Tony Brothers",6,46,52,686,0.075801749271137
"Justin Van Duyne",8,69,77,680,0.113235294117647
"James Williams",9,53,62,642,0.0965732087227414
"Derrick Collins",12,65,77,634,0.121451104100946
"Zach Zarba",8,53,61,627,0.0972886762360447
"Leroy Richardson",9,71,80,614,0.130293159609121
"Derrick Stafford",6,71,77,592,0.130067567567568
"James Capers",7,44,51,592,0.0861486486486486
"Michael Smith",5,54,59,589,0.100169779286927
"Tony Brown",8,68,76,588,0.129251700680272
"Dan Crawford",8,50,58,586,0.0989761092150171
"Nick Buchert",4,45,49,571,0.0858143607705779
"Tre Maddox",11,73,84,560,0.15
"John Goble",6,51,57,548,0.104014598540146
"Ron Garretson",4,60,64,537,0.119180633147114
"Rodney Mott",7,45,52,536,0.0970149253731343
"Kevin Scott",6,37,43,533,0.0806754221388368
"Pat Fraher",5,47,52,530,0.0981132075471698
"Gary Zielinski",8,58,66,524,0.125954198473282
"Ed Malloy",7,41,48,515,0.0932038834951456
"J.T. Orr",5,38,43,513,0.0838206627680312
"Haywoode Workman",8,51,59,508,0.116141732283465
"Scott Twardoski",7,40,47,506,0.0928853754940712
"Courtney Kirkland",7,48,55,502,0.109561752988048
"Sean Wright",6,44,50,498,0.100401606425703
"Steve Anderson",9,31,40,498,0.0803212851405622
"Derek Richardson",2,42,44,495,0.0888888888888889
"Leon Wood",4,49,53,488,0.108606557377049
"Brent Barnaky",4,42,46,481,0.0956340956340956
"Bill Kennedy",7,32,39,477,0.0817610062893082
"Marat Kogut",4,39,43,477,0.090146750524109
"Bennie Adams",9,49,58,466,0.124463519313305
"Scott Wall",8,39,47,465,0.101075268817204
"Kevin Cutler",5,46,51,462,0.11038961038961
"Eric Dalen",2,43,45,452,0.0995575221238938
"Lauren Holtkamp",5,30,35,444,0.0788288288288288
"Karl Lane",12,34,46,443,0.103837471783296
"Mike Callahan",3,60,63,441,0.142857142857143
"David Guthrie",6,37,43,433,0.0993071593533487
"Mark Lindsay",1,27,28,428,0.0654205607476635
"Mark Ayotte",4,44,48,398,0.120603015075377
"Brian Forte",6,31,37,397,0.0931989924433249
"Bill Spooner",3,36,39,381,0.102362204724409
"Matt Boland",12,41,53,381,0.139107611548556
"Curtis Blair",2,25,27,377,0.0716180371352785
"David Jones",4,43,47,373,0.126005361930295
"Sean Corbin",4,33,37,360,0.102777777777778
"Gediminas Petraitis",6,29,35,357,0.0980392156862745
"Mitchell Ervin",10,30,40,354,0.112994350282486
"Ben Taylor",2,36,38,352,0.107954545454545
"Eli Roe",5,37,42,348,0.120689655172414
"Tyler Ford",2,20,22,318,0.0691823899371069
"Dedric Taylor",5,28,33,301,0.109634551495017
"Aaron Smith",3,29,32,261,0.122605363984674
"Brett Nansel",2,14,16,205,0.0780487804878049
"Joe Crawford",2,9,11,147,0.0748299319727891
"Jacyn Goble",0,6,6,121,0.0495867768595041
"Bennett Salvatore",3,13,16,111,0.144144144144144
"C.J. Washington",1,1,2,58,0.0344827586206897
"Violet Palmer",0,6,6,36,0.166666666666667
"Phenizee Ransom",0,2,2,32,0.0625
"Vladimir Voyard-Tadal",0,5,5,28,0.178571428571429
