"Name","Games with Top Teams","Total Games with Top Teams","Ratio"
"Mark Lindsay","213","394","0.5406091370558376"
"Tony Brothers","219","394","0.5558375634517766"
"Lauren Holtkamp","214","394","0.5431472081218274"
"Steve Anderson","215","394","0.5456852791878173"
"Kevin Scott","214","394","0.5431472081218274"
"Bill Kennedy","217","394","0.550761421319797"
"J.T. Orr","217","394","0.550761421319797"
"Nick Buchert","215","394","0.5456852791878173"
"James Capers","220","394","0.5583756345177665"
"Derek Richardson","215","394","0.5456852791878173"
"Bennie Adams","215","394","0.5456852791878173"
"Gary Zielinski","219","394","0.5558375634517766"
"David Jones","215","394","0.5456852791878173"
"Josh Tiven","221","394","0.5609137055837563"
"Tony Brown","222","394","0.5634517766497462"
"Derrick Stafford","223","394","0.565989847715736"
"Leroy Richardson","221","394","0.5609137055837563"
"Matt Boland","217","394","0.550761421319797"
"Mike Callahan","218","394","0.5532994923857868"
"Tre Maddox","214","394","0.5431472081218274"
